,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격
30,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/17),,1일전 (05/16),,1주일전 (05/10),12720.0,2주일전 (05/03),13780.0,1개월전,14855.0,1년전,,일평년,
31,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/17),,1일전 (05/16),,1주일전 (05/10),9462.0,2주일전 (05/03),9636.0,1개월전,10233.0,1년전,,일평년,
30,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/18),,1일전 (05/17),,1주일전 (05/11),12750.0,2주일전 (05/04),13720.0,1개월전,14772.0,1년전,,일평년,
31,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/18),,1일전 (05/17),,1주일전 (05/11),9663.0,2주일전 (05/04),9570.0,1개월전,10172.0,1년전,,일평년,
30,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/20),,1일전 (05/19),,1주일전 (05/13),,2주일전 (05/06),13940.0,1개월전,14604.0,1년전,,일평년,
31,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/20),,1일전 (05/19),,1주일전 (05/13),,2주일전 (05/06),9786.0,1개월전,10078.0,1년전,,일평년,
30,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/23),,1일전 (05/22),,1주일전 (05/16),,2주일전 (05/09),13740.0,1개월전,13975.0,1년전,,일평년,
31,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/23),,1일전 (05/22),,1주일전 (05/16),,2주일전 (05/09),9596.0,1개월전,9457.0,1년전,,일평년,
30,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/24),,1일전 (05/23),,1주일전 (05/17),,2주일전 (05/10),12720.0,1개월전,13975.0,1년전,,일평년,
31,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/24),,1일전 (05/23),,1주일전 (05/17),,2주일전 (05/10),9462.0,1개월전,9457.0,1년전,,일평년,
30,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/25),,1일전 (05/24),,1주일전 (05/18),,2주일전 (05/11),12750.0,1개월전,13888.0,1년전,,일평년,
31,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/25),,1일전 (05/24),,1주일전 (05/18),,2주일전 (05/11),9663.0,1개월전,9364.0,1년전,,일평년,
26,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (11/29),27200.0,1일전 (11/28),,1주일전 (11/22),,2주일전 (11/15),,1개월전,,1년전,29228.0,일평년,28262.0
